"","X","score","text","emotion","polarity"
"56",56,6,"i lost my kindle fire 7""hd 2013 version.  over the months i had used it, i found that i did not like to read books on it.  my paperwhite did a much better job with books.  the 7"" did well with my magazines; but had trouble adjusting some magazines to  fit the kindle and silk was slooow.well i lost it, in time to buy the new 6"" kindle.  it is fast and sleek and i love reading books on it,  my magazine are adjusted automatically  to reading view.  the views are much sharper.  since retirement i read 1 to 3 books a week + my magazines.  my calendar is lovely.  i am in love!!","joy","neutral"
"57",57,4,"Perfect price and great if you have kids. I got this tablet just for my daughter and for me just to surf the net. I really like the parental aspects of this device. You can block anything that is not for a child but still be able to access the apps and other things with out having to hover over your child worried about what he or she is viewing. I also like the size it's a little bit bigger than a note 3 phone. In all its a great purchase for those reasons above.","joy","neutral"
"58",58,1,"Another home run for Amazon. Smaller to carry and use while at work. Shush, don't tell my boss.","unknown","positive"
"59",59,22,"I've been sitting trying figure out why I like this thing so much better than my hdx7.  It isn't as thin.  The screen isn't as...well perfect. It feels quite a bit heavier.  I've been at a loss for a while now; but I think maybe another reviewer said it best.This thing feels great in your hand. It feels substantial, but not too heavy. The screen is good enough so that when you use it, you never think about the screen...well unless you're thinking something like, ""I can't believe I got this screen for a hundred bucks!""  In a lot of ways it reminds me of a paperback novel.I loved those things by the way.  More to the point, I love reading because of those things. I propose we all start thinking of this model kindle as the paperback novel of kindles.  It is a more portable, more affordable variation on the original.  In just the same way the paperback novel was for the common person, so too is the hd6.  It is a good tablet, with good performance, a good screen, and decent battery life...and oh by the way it is one most people can afford.  And I will say something else, which is, I'm not sure any other hardware company could build a tablet this good and sell it at this price.  I think Amazon's hardware designers are just that good.As someone who cares for value, and who has done a good bit of research on so called ""value"" tablets, let me save you some time.  There are no other value tablets.  Not this good.  Not nearly this good. This tablet makes all other ""value"" tablets look like a foolish waist of money.Plus it does things even my Nexus 7 could never do, like fit comfortably in my pocket.I bought this device with every intention of trying it out for a week, just so I could understand it a bit better.  Even that decision was spur of the moment.  I chose the hd6 over a paperwhite.  Gotta say I think I nailed that decision.  Also, I think I will be keeping this thing much longer than a week..","joy","positive"
"60",60,40,"Insanely good for the pricePROS:Excellent Amazon media machineIncredible value for the moneyVibrant 252 ppi screen with great viewing anglesCompact form factorSimple but elegant functionEasy to configure parental controls (optional)8 hour battery lifeSimple set upCONS:Stuck with Amazon app storeOnly 2 mp rear facing camera with slow focus and poor low-light performanceNo SD card expansion portLimited memory on the 8 GB model (buy the 16 GB version if you want room for downloaded media)Single band Wi-FiMono speakerNot specifically developed for productivity; more aimed at the web and entertainmentNo GPS, NFC, haptic feedback, or ambient light sensor (not deal breakers for me in this price range)QUICK OVERVIEWThe Kindle Fire HD 6 is an entry level tablet that really packs a punch.  I wanted to buy my 12 year old daughter a tablet for her birthday and really vacillated as to what to buy.  If you go too cheap, all you get is an outmoded, slow, and clunky piece of crap that won't hold up over time.  If you go the way of the basic iPad mini, you're giving a kid $250 piece of technology to knock around in their backpack.  When the Fire HD 6 went on sale for $79 during Cyberweek the timing couldn't have been better and I went for it.  I haven't had this thing for a long time, granted, but I've seen plenty of tablets in my day and for a kid--and even an adult--this thing rocks.  This may not be the latest and greatest technology, but you would be hard pressed to find a tablet this refined and with this good of a user experience at a similar price point.LONG REVIEWFirst and foremost, when you buy the Kindle Fire HD 6, you are getting a sweet piece of well thought out technology.  The thing arrived in exactly 2 days from purchase and was mailed in the nondescript cardboard packaging that Amazon usually uses for medium sized books.  Inside was a simple cardboard container that Amazon uses for their frustration-free packaging.  But when I opened the frustration-free package I was more than surprised to see that they hadn't skimped on the presentation.  The box for the Kindle HD 6 has an Apple-worthy, simplistic beauty.  You shouldn't judge a book by the cover, but the look of a gift is incredibly important and the quality of the packaging absolutely reflects the attitude of the manufacturer towards the product.  Amazon hadn't skimped here and my daughter's eyes lit up when she looked at the box.INSIDE THE BOXInside the box, you will find the carefully packaged Kindle itself,  a micro-USB charge cord, and quick start card.  The device itself is machined well, without any dogeared edges or superficial flaws.  The device is made of plastic, but it feels solid in your hands.  Unlike most low-end electronics, the on-off button and the volume buttons also have a firm, feel.  The charge/sync cord easily fits into the Kindle's micro-USB port.  There is no jiggling and no difficulty placing the cord.  In the past, I have bought lower end electronics with cheap USB ports that don't quite fit or easily break--this does not seem to be the case here.SET UPOnce you turn on the device, the tablet walks you through setting up your local Wi-Fi and you enter your Amazon account information.  Once done, all your content on Amazon is available to you (all kinds of media and apps).  You can then decide how you want to set up the device.Fire OS is not standard Android, but anyone who is used to technology the learning curve is easy.  I did have to consult the Amazon website for a few particular things, but basically once you set the device up you will be 99% set to go.  The user interface is elegant and a great skin on Android.  The limiting factor, of course, is that you are stuck with the Amazon app store.  This is rather robust at this point, but still lacks the sheer number and diversity of programs that you can find on Google Play.  Nevertheless, the Kindle Fire series gives you  unprecedented ease in accessing all of your Amazon content.  Additionally, this tablet is no toy.  It can do anything a run-of-the-mill Android tablet can do.Setting up a kids account with appropriate restrictions is a little more complicated, but well worth it.  I'm all for giving children major leeway, but having the web at your fingertips with no restrictions on a device that can be used in private is a little too much responsibility.  The fact is, that the kids accounts can be configured to give them incredible leeway but you can also restrict total amount of use time, restrict the apps they can use, and the ratings of the media that they can view.  For a parent, this is a godsend.  There is lots of help on the tablet itself when you set up a kid's account and there is additional information on the web.THE SCREENI don't know why anyone would complain about the screen. No, this is not the retina display of the latest iPad Mini 3.  But at 252 ppi it beats the basic iPad Mini (which is at 163 ppi) and comes incredibly close the the latest iPad Air's 264 ppi.  Given the 6 inch screen, 252 ppi is quite an incredible amount of resolution.  Even small text comes out as crisp and unpixilated.  The rendering of color, the brightness, and the viewing angles are incredible for a device that would cost twice this much, let alone at this price point.  Is the screen as good as the one on the basic iPad Mini?  It sure seems so to my eyes.  Maybe it's the smaller form factor, but there is no real compromise here.  The screen is incredibly responsive to gestures.  So far, there is little or no lag.  The tablet has yet to freeze or stagger.  I realize I have not been using it for more than a couple of days, but I haven't seen a better screen on anything in the sub-$200 category.  Kudos to Amazon for this.Rendering of movies and complex games was far better than I ever expected.  This is a media consumption device, after all, and it does this incredibly well.  As an old guy, I would like a bigger screen.  But for the iPod/smartphone generation, watching media on the small screen is second nature.  Ditto on web surfing and eBooks.  The screen will render web pages full size with type that is readable for me only because I wear progressive lenses.  With appropriate eyewear, however, web surfing is a pleasant enough experience.  I would prefer reading my eBooks using a larger form factor, but they are serviceable on the device.  At age 12, my daughter isn't bothered in the least.  That said, with a 6 inch screen, this tablet is not much larger than most phablets out there, so if I were getting a tablet for myself I would have opted for a larger form factor.USER EXPERIENCEIn reading professional reviews of the tablet before purchasing, a lot of ink was spilled regarding the wimpiness of the HD 6's MediaTek MT8135 1.2/1.5 GHz processor and paltry 1 GB of RAM.  The first observation I would make is that it is ridiculous to expect that a tablet in this price range will purr and hum like the top-of-the-line Galaxy tab or suped-up iPad.  Sure, the HD 6 may suffer in comparison on some benchmarks.  It's still a $99 tablet, not $200 to $400 tablet.  Still,  in my hands, so far, the performance has been more than snappy.  There is very little lag (I think I have more lag on my iPhone 5S for some tasks.Raw hardware is absolutely an important consideration but it is meaningless unless there is a good marriage between hardware and software.  Amazon has optimized the experience for those who are interested in Amazon content and have really done this brilliantly.  It may well be that the higher-line Kindles do their stuff even better, but even if that is the case, the experience with the Kindle HD 6 is still great.  I will have to see how things go as the tablet gets filled up with apps or there is some serious multitasking going on .  But so far, so good.IMPORTANT ISSUES/TRADE OFFSWhat are the downsides here?  Well, at $99 there had to be some compromises. At 2 megapixels, the rear camera is serviceable but by no means perfect.  I agree with most of the reviews I read previously: the camera takes too long to focus and low-light pictures are definitely blurry.Weighing in at 10.1 ounces, the HD 6 is something of a brick by modern standards.  The larger HDX 7 is only 0.6 ounces heavier and has a larger screen and longer battery life.  Clearly, the lower end components simply weight more.Battery life is slated at only 8 hours.  I haven't tried this in real life yet, but most companies overestimate battery life.  To keep costs down, Amazon had to make some decisions and clearly they opted for an older, heavier, lower-end battery to achieve this.  Still, 8 hours at full tilt would have been pretty amazing battery life a few short years ago, so it's still not too bad.The HD 6 only has a mono speaker.  Audio on these kinds of devices can never be truly high end (there's no way to get a full-range speaker on something this small).  The sound, though, is fine for a speaker of this size, but it's clearly a compromise.Single band Wi-Fi.  Clearly, this will slow down the web, but I didn't notice this at all using Amazon's Silk browser.  No issues with download times, but that all depends on your network.Low memory: on the 8 GB model, after accounting for the OS and basic apps, this apparently leaves only about 5 GB of memory are left over for content and additional apps.  1 GB can store about 250 songs or 614 photos (at ~1.5 MB per photo)--not bad.  But it takes about 2 GB to store a movie.  So if you don't install any apps, you could possibly store 2 movies on your 8 GB HD 6.  Not great.  And, sadly, there's no micro-SD card slot for memory expansion.Then again, the purpose of this device is really streaming.  You are allowed to cache movies for later viewing, but the Kindle is really meant to stream content, not act as a repository for it.  You could opt for the 16 GB HD 6, but that'll cost you $20.  (After buying the tablet, though, I think buying the extra memory is well worth the cost of the upgrade.)Given cost constraints, Amazon has left out some common features seen on mid-range and higher end Android devices.  There is no GPS, no NFC (near field communication, for close proximity near-touch transfer of data with other devices), no haptic feedback (that 'buzz' you feel when you type into the keyboard), and no ambient light sensor (allows for automatic adjustment of screen brightness, among other things).  None of these missing items is a deal breaker for me at this price point.  I think the trade offs were reasonable to keep the low price point (e.g. I'd rather have the better screen than the NFC, haptic feedback, etc.)  GPS would have been a nice touch, but it is less useful without 3G/4G LTE service, which is not an option on this product.Fire OS 4: this is both a pro and a con for this device.  On the one hand, Fire OS is optimized to provide a great Amazon-content experience.  There is a great marriage of hardware and software here.  On the other hand, Fire OS 4 is less customizable and less user configurable than stock Android.  It's not that Amazon hasn't added value here, but in adding an excellent Amazon experience, you are stuck with choices that you may not have wanted to make.  The interface is elegant and, I believe, enjoyable to use, but it's locked down and some users--especially those who like to tinker a lot with their interface--will not appreciate this fact.CONCLUSION:I was far more impressed with the Kindle HD 6 than I could have imagined.  It is a low-cost product that really delivers on a high end experience.  It is certainly not a high-end tablet, but Amazon packed a lot of value into the product.  You get a lot more tablet than you purchased.  If you are looking for a device for one of your children and you don't want to sacrifice an arm and a leg to the technology gods, this one's for you. If you are looking for a great holiday gift for someone who is entrenched in the Amazon universe or are looking for an entry-level Kindle, this just might be the one.  This is by no means a high-end tablet, but it is insanely good for the price.","joy","positive"
"61",61,11,"I had the 2012 Kindle Fire HD 7 inch and I loved it. When I saw that there was a new, cheaper, PINK Fire HD coming out, I had to get one.I've been playing with it for awhile now and I love it even more than my old Fire. First, it's pink. The screen is very responsive (like the old one), everything works quickly (like the old one), and it has TWO cameras (unlike the old one). The front camera is basically the same quality as the camera on my 2012. However, the rear camera (which was absent on the 2012) seems pretty high quality. It takes nice, clear photos. Also, my old apps work fine on this Kindle.Also, I love the feel of this one. It fits well in the hand. It has a nice heft to it that tells you it's not cheap junk, but it's not so heavy that it's going to wear out your hand.Overall, I have no complaints. I figured that I wouldn't, being such a devoted Fire tablet follower. I don't think you can go wrong with anything in the Kindle lineup.**UPDATE**After a full day of playing with it, I still have no plans to downgrade my review to four stars. However, I will say that I have now noticed a few of the quirks others were complaining about. First off, I HAVE discovered a few apps that won't play on this Kindle. Fortunately, all the major ones work. Also, the battery life is a little shorter than my original Kindle Fire HD.  Speed and responsiveness are barely, if at all, inferior to original HD. Volume is lower, but you have to remember that the smaller size necessitates one less speaker.That might seem like I found a lot of problems, but the ""problems"" are extremely minor. Plus, the tablet costs $100 ($119 if you got the 16gb like I did)! Considering the tiny size and price tag, these small flaws are perfectly acceptable in my opinion.  Love it!","joy","neutral"
"62",62,9,"What an incredible sub $100 tablet! I saw that these were available as a preorder, had a bit over $100 in gift cards burning a hole in my account and my daughter had been hinting that she would like a new tablet. I seriously considered the 7"" for a little more, but after thinking about her usage habits and the way she does what she does online, I went with the 6"", and a day after it arrived discovered I had hit a homerun.She loves the tablet, she loves the size, and she loves the color (Citron). She had a tablet before, a fairly awful piece of equipment that cost as much as this less than a year ago and was so bad that she never bothered using it much, she has had the FireHD 6 with her since it arrived.The specs are good, but don't really tell the whole story, if that was the case then the noname Chinese Tablet I bought her last year would have been great, it wasn't. This tablet has good specs, and more importantly works well, everything she does it just breezes through, no lag, no hanging up or other undesirable behavior. The battery life is great (much much better than the Chinese tablet with a battery rated at a similar capacity).In the end I was hesitant to go with this tablet, the specs were good but not impressive, lots of Chinese tablets have similar specs at a similar price. The Size had me really concerned, I just assumed that the smaller size was more of a cost cutting method to get the price under $100, I was dead wrong, this tablet is handy and works well, that means that it gets used a lot, which in the end is the true measurement of value, and this one stands tall.","joy","negative"
"63",63,-2,"I purchased the 16 gigabyte version on sale for 89 dollars without ""special offers"". The 8 Gig version was 69 on sale without ""special offers"" What made it something I couldn't pass up... was the offer of a payment plan which I agreed to, and so I made the purchase, Having charged me the 89 dollars, the email they sent me now said I had bought the 8gb version. I tried to cancel the purchase. They said I could not. I was indeed sent an 8 gig version which I could have gotten for 69. Realizing they had just ripped me off for 20 bucks,  I proceeded to dispute the sale and recover the thing I had actually bought (a 16 Gig version) at the price I'd bought it, (89) and in the way I'd bought it, (on the payment plan). After days of explaining and arguing with mental deficients with a certain almost laughably greedy bent, I at least got what I had paid for. It wasn't easy by any means, and I through some amazing zeal to take from me anything they could....they did take away the payment deal and have charged me, all at once. I should mention that they also took a bit of my sanity also. That seemed to be the plan. Explaining the obvious over and over and over again to those who barely listen and comprehend less, is NOT fun.  New Egg will be getting more of my business whenever possible. A part of me now hates Amazon. They took alot of my time, a large part of a good deal from me, and lost a friend. You suck Amazon, and I'm a Prime member.","joy","neutral"
"64",64,-1,"What I didn't realize about the 8GB, was that over half of that was used up on system/operations. Got these for two of my children. They can't keep any more than a game or two and a movie on the device without the ""low storage"" warning coming up. Which it does, constantly. I am forever having to delete what little I can from the stupid thing so that they can use them. It also kicks you off of wifi any time the storage warning comes on.I currently have a kindle that I love, but these little tablets are very disappointing. If you are looking to purchase, be smart and upgrade to the higher memory. I wish I would have.","joy","negative"
"65",65,-2,"Up until now I have been a confirmed Kindle Junkie. I loved my Kindle Fire. But right out of the box, this one was slow (it takes between 30 and 50 seconds every time to load my library and the carousel), the back arrow button takes me out of the book not to the last location and it just now froze while I was trying to shut it down to see if that would fix the problems. Each of the last three Kindles I've purchased, the Paperwhite (gave it away), a regular Kindle (sitting in a cabinet) and this one, have just gotten worse. I don't know if this is an isolated incident or an indication of the future, but I think this is my 8th Kindle (several of them were warranty replacements) in 3 years, I'm not going to continue spending money on these readers that don't last very long even when they are working correctly.  I just now got off the phone returning this HD.","unknown","negative"
"66",66,2,"I received last night and my 2 year old son and I have been using non-stop. Everything is responsive and smooth. Big bump over last generation hd which I returned. It was so slow my two year old would walk away from it and take the previous generation from my 4 year old. Not a problem anymore. I love the 6 inch size, So far so good, can't beat for the price. I would recommend at least 16 gb.","joy","neutral"
"67",67,21,"My Fire hd 6 arrived this afternoon so I have just begun to test it.I'll update this review tomorrow after I have put its features through a bit more of a trial. But so far I'm delighted.I have a bit of experience with computers, Kindles, and Android tablets, so this is not, I hope, an uninformed review.First off, the tablet arrived in perfect condition, beautifully packaged. It was a joy to unbox and a cinch to set up. I plugged it into an outlet and watched as it automatically booted up for the first time. No problem. Neither was there any problem connecting to my existing Amazon account and gmail account. The system update took a while to download and install. And it took even longer to get the battery charged up fully (in part because I decided to use the tablet while it was charging.The tablet itself is a solid, well made slab. It feels like something that is not fragile and that will last. It's comfortable to hold in one hand with squared edges that don't jab into one's fingers the way the edges of my thinner Asus Memo Pad 10 tend to do. It is not a featherweight, but rather it weights exactly the advertised 10.1 ounces (the same as the venerable Kindle 2 it will largely replace).I purchased it primarily as an ereader and have tested that function. I rarely read in direct sunlight but often read in bed so the backlit screen is perfect for me. The text is very sharp and the entire Kindle reading experience is a joy. Text to speech in public domain books uses a pleasant female robo-voice. I'm quite happy with it. I haven't yet tried Audible books or audio books from my public library, but I'm quite certain they will work (after I fiddle around to install the Overdrive app). The single speaker is loud enough for most purposes.The Silk browser is fast and smooth. I'm using it to write this review and am very pleased with the implementation of the swipe keyboard for writing. Word prediction is accurate; the action is smooth. Web pages come up as quickly as they would on any of my laptop machines--maybe even a little more quickly.Amazon Prime videos load and play smoothly. The six inch screen is quite big enough for pleasant viewing, given that I wanted a light weight device I could easily skip in a coat pocket or a back pocket.I took a few test photos with the camera. It works, but it is only two megapixels. Still, I have found my two megapixel cell phone camera capable of taking surprisingly good macro photographs of wildflowers and insects. My initial results with this tablet's camera were a bit disappointing. But I have hopes of figuring out how to take better shots and will report back tomorrow.To be continued . . .I have updated and expanded this review on my blog page. (Google search for ""Lake Norfork Adventures"". Note the spelling of ""Norfork"" or else you won't find the page.) That review includes some tips for side-loading apps, but I devote most of my attention to the camera. I do a bit of macro nature photography to help in identifying wild flowers and insects. I've posted a few photos taken with this camera. It is surprisingly useful!","joy","positive"
"68",68,14,"Summary:  The games that you (or who you are giving this device to) probably won’t work on this device.  This includes Minion Rush, Angry Birds (Ad-Free), DoofenDash, Clash of Clans and many other big hits!  DO NOT BUY THIS DEVICE UNLESS YOU DON’T PLAY GAMES!!!I purchased 2 Kindle Fire HD 6 tablets as gifts for my boys for Christmas 2014.  Upon receiving them, I decided to get them all setup prior to wrapping so the kids can jump right in and use them after they are unwrapped.Upon getting them connected to my WIFI and registered on Amazon, I found that of the list of 20 games I was going to install on it, only 4 of them could be found in the Amazon App store from the device.  That didn’t sound right to me, so I searched for the apps in the web version of the Amazon App store from my pc.  Sure enough, the games are there, but it shows a little red ‘X’ next to my Kindle Fire HD 6 tablets in the compatibility section.  We are not just talking about a couple of no name games here, but large grossing games of the era are not compatible with this device.My next thought was that maybe I am doing something wrong here.  I am a geek by nature, have owned a few tablets in my time (iPad 1, iPad Mini, SG Tab 2) and I have android phones & 2 Amazon Kindle e-readers, so I was wondering that if I couldn't figure it out, how would someone without as much geek experience do it?Next, I got on the phone with Amazon Kindle Support.  Don’t get ahead of me.  Those of you who may have been on the phone with support may know where I am going.  During my 64 minutes 31 seconds on the phone, I spoke with five people, two of whom were managers, across two different departments.  Every time that I was transferred to someone new, the phone connection got quieter until person four… I couldn't even make out what they were saying.Here are the resolutions that I was giving by the support reps:- Person 1 (Kindle Support) – let’s get you to the app store support line to see if they have any clues (ok, maybe we can get somewhere here)- Person 2 (App Store Support) – well, if the game won’t install, just pick a different game and be done with it. (did not sit very well with me, mind you!)- Person 3 (App Store Support Manager) – well, it’s the app developers fault that they haven’t updated their games.  Why don’t you return the two 6 inch tablets and buy 7 inch tablets because the apps should work on those. Oh Wait, their all back ordered (“Yes, the gas doesn't work in this Chevy, go buy a Cadillac and it should work fine” --- again, not happy here)- Person 4 (Kindle Support again) – I couldn't understand her between the phone issues as well as her accent.  Rule #1 of customer service… support should help, not frustrate!- Person 5 (Kindle Support Manager) – The apps aren't compatible because of the Kindle Fire operating system that recently was released.  We are working to resolve the issue, but we do not have an ETA as to when the update will be available.Each person that I spoke with, I had to re-explain the problem all over again.  I refuse to accept the fact that a company the size of Amazon doesn’t have their house in order, but I guess I am wrong.  I am sitting on two Kindle Fire HD 6 tablets, which each have two games on them and running out of time for Christmas.Don’t make the same mistake that I did.  I thought that these would be simple and great tablets for my kids.  I WAS WRONG.  Heading back to what I know works and will NEVER buy another Amazon tablet again.","joy","neutral"
"69",69,8,"SlimPort...my reason to buy!  I still own the three previous Kindle Fires in 7"". Generation II  had HDMI out but whatever showed on the device appeared on the screen.  With SlimPort, only the media shows on the TV and IMDb info and other info like running time and battery status, etc. remains on the device.  Only Amazon content shows full screen however.  Netflix, HBOgo, and Hulu+ do not. Settings on whatever you use as a monitor can usually take care of that but for some, it's a hassle.  Amazon content was what I was mainly interested however...download overnight in HD and watch the next day without the interference associated MirrorCast or Second Screen.  Nothing beats downloading and a cable if your Wi-Fi isn't always stable.Enough people are giving the pros and cons of the Fire HD 6.  I love this little guy.  Got the 16GB (11.6 GB usable) version and wish it had more but I have enough Fires for games and such.  This lil' guy is strictly for video so it suits me just fine.  I'm a happy camper!SlimPort also works great with Amazon MP3's.  If you want to save space on the device, just download you music to a flash drive and using the proper adapter (http://www.amazon.com/gp/product/B00C452XFO/ref=oh_aui_detailpage_o09_s00?ie=UTF8&psc=1) or similar, you can play your favorites with no Wi-Fi necessary.  Amazon content will even display lyrics if originally available.  No need to use onboard storage.  This is good stuff!","joy","positive"
"70",70,16,"I love this thing! This wasn't bought for my daughter, or an elderly family member.I bought this for me and portability. For those that don't like the fact that the kindles don't offer TTS (text to speech) bam! It's here! Quickly hooks up to Bluetooth in the car. Easy to keep in my pocket, and with the affordable price not worrying about it getting beat up. It's tough well built and never plan on buying a case for it.To be honest I also bought it to feel what a new iPhone 6+ would feel like.Some gripes: Yes the camera isn't great but it's good enough. I do wish they would make taking pictures easier, like holding down the volume button or having it available from the start screen. Also I have a KDX and the icon for camera actually looks like a lens and not a brake rotor.Until today Hulu wasn't available, kudos! Now I need the WSJ application to work.So to wrap it up, nice portable on the go fire that isn't just for kids.","joy","positive"
"71",71,3,"Not a happy customer: Side-loading apps removes functionality. The Fire OS is inferior to Android OS in terms of usability. Furthermore, I am inhibited from using my google ecosystem on the Fire OS.Worst of all, the Kindle is pretty much a window into the shopping world of amazon, and I am constantly reminded that I need to buy things rather than being able to use the tablet simply for work purposes. I do not recommend","joy","positive"
"72",72,8,"The sheer value of this device cannot be understated. I got the 120$ 16GB model, and it doesn't feel like a single penny wasted.The 6 inch screen is a bit small, but wider than most phones of the same height and better suited for browsing, reading and viewing media. The clarity and colors in the screen are simply amazing for the price, any other device at 120$ would be lucky to look half as good.The device feels a bit thicker than it maybe should be, but as a result feels solid in your hand, almost like a real paperback book. I feel like if I dropped it, it wouldn't break immediately.Sometimes the software hiccups a bit, but I haven't noticed any significant slowdown. It runs most games just fine.The battery does what it promises, and lives about 8 hours of use.Again, for 120$, or just 99$ for the 8GB model, this can't be beat.","surprise","positive"
"73",73,1,"Bought for my toddler to watch Netflix/Youtube on trips and outings. The price was phemomenal and I had it in mind to purchase a second for myself. Much to my chagrin, this product is unacceptable for any adult with expectations of a good/great operating system.  Sturdy device, solid weight but not too heavy. My largest complaint is that It's more useful as a ""remote control"" for Amazon shopping more than anything else. There is no Google Play store, just copies of Apps that you would commonly find. The Freetime App for kids is more annoying and obtrusive-- what is the point of a kid's app that isnt intuitive for children who can not yet read? And the bargain basement versions of apps crash more frequently than cellphone and other tablet versions. It's stylish, has some interesting features (email docs directly to the Fire) but in my opinion, too much of the OS is devoted to continued shopping on Amazon (even when you pay 15 add'l dollars to turn the screensaver adds off)","anger","neutral"
"74",74,15,"For a first tablet, this works perfectly for me.I purchased this for one reason: to be able to read e-books in bed where it's warm. I have not been fond of reading stuff on the screen of my PC, so I wasn't all that certain the Fire would work for me; but it works wonderfully. I have already spent hours reading on it (I have had the Fire for about two weeks). The fact that I can also watch NBA games on this device, and the picture is HD clear, is a fabulous bit of icing on my cake.The camera seems to work just fine (I discovered the selfie view--holy cats, when did my nose get this big?). I can transfer photos to my PC easily (not the nose one). I had forgotten about the video-taking capacity and today was horrified to discover that I'd recorded a 60-second video when I first got the Fire, which was the quintessential ""old person with new technology"" show, including frighteningly clear mumbled narration. So that works. The deletion function works really well, too.For people who are technologically adept, yeah, I can't tell you what you want to know about this device.  But, even considering how low my expectations were for any e-book reader, I am exceedingly delighted with my new toy.","joy","positive"
"75",75,6,"I purchased this small kindle fire as a supplemental e-reader for when I was too lazy to use my surface 2. However, after playing with this adorable little tablet I am pleasantly surprised at just how capable it is!While the device looks a little chunky, the weight feels appropriate in the hand and is distributed evenly across the device. The screen, while only 6 inches across, is absolutely stunning for watching movies. The user-interface is what you can expect from Amazon's proprietary forked android software~ but unlike previous iterations of the Kindle Fire the transitions seem much smoother and all-around ""zippier.""The speaker on this tablet is not the best, nor is it the worst. If I had to draw a comparison~ it is probably on-par with many high-end tablets from 2012 that were quadruple the price. Appstore selection is ""okay"" and you still have the option of side-loading android apk's onto the device if the appstore doesn't have them.For the price you pay, you are getting a hard-working bundle of fun that literally fits into your pocket. Amazon did a great job designing this device.","joy","neutral"
"76",76,12,"I love this little guy he's got the display witch is Amazing there's really no pixels that can been seen on the screen the battery life is ok good for a 120 dollar tablet the fire os4 is great too I had an HDX and I love it but I needed something more portable for reading and this fit the bill I would.buy this if you love kindled than you'll love this little guy EDIT hey guys I also forgot to addThe speaker part of the review there are so much better than my HDX 7 they have better sound overall but the HDX 7s speakers always sucked not a surprise but overall everything on this tablet is just flipping awesome OS fire 4.0. The speakers. The display. The new and improved silk browser. Just everything this tablet is worth so much more than 99 dollars buy the 16:-/ though the 8:-/ only has 4gb of actual user storage so not much storage for anything really at least with the 16gb you get 11.6gb of user storage","joy","positive"
"77",77,18,"I cannot tell you how much I love the Kindle Fire HD 6""! The clarity of the screen is extremely impressive for as small as it is. That part surpassed all my expectations. It has convenient volume buttons on the side and from what I can tell, the speaker quality is pretty good for something so tiny. It fits perfectly in my purse so I can take it anywhere with me and it is on the light side, so it doesn't weigh my bag down.My all time favorite feature on this is the Goodreads button! I have been saying for a few years now how much easier it would be if eReaders synced right up to Goodreads and it finally happened. Instead of logging onto Goodreads to update my progress or to add a new book to my currently reading shelf, all I have to do is tap the screen, hit the Goodreads button, and I can update everything from there. It even tells me about how long it takes the average reader to read the book I'm currently on. Maybe it's the book nerd in me, but I was so excited about that feature that I literally shouted out loud in excitement when I saw it.Another feature that spoke to the bibliophile in me was the related books feature. As you are on the home screen, scrolling through books, it will show you a few other books you may be interested in purchasing based on the subject of that book. I received this in exchange for an honest review and my 100% honest opinion is that compared to the original Kindle Fire with the 7 inch screen that I already had, this is by far my favorite one. I highly recommend it. If you are mainly using it for reading, you will get over it's small size rather quickly when you see the amazing features and incredible screen quality.","joy","positive"
"78",78,16,"This has quickly become my favorite tablet. I own every version of the Kindle line-up from the original Kindle Fire, right up to the HDX 8.9 and HDX 7 inch. I also have an Ipad 2 and an Ipad Mini, both of which are gathering dust because I prefer to use the Kindle HDX 8.9, which is lighter, faster, and easier to transfer files directly from my PC. I did not expect the HD 6 to be as good as it is, but now I can’t do without it. It is easy to hold and transport, and fits nicely into a small bag. The screen clarity is excellent, wifi is faster than previous versions, and the sound is much better than I expected. In fact, I think music sounds better on the HD 6 than the HDX 7, which by the way is the only Amazon tablet I have regretted buying. I should have returned the HDX, because the blue haze around the edges made the device virtually unusable. Comparing the HD 6 and the HDX 7, I would say the HD 6 is far better in quality, and less than half the price of the HDX, at least when I bought the HDX last year. Moreover, the HD 6 has both rear and front cameras, and while I don’t use them much, I find the picture capability suits my limited purposes, such as scanning receipts and other documents. Battery life is comparable with previous versions, not better or worse.One other point is worth making, since I haven’t heard other reviewers comment on it. Text on the HD 6 is remarkably readable. Before I bought the Fire, I feared that text would too small to read on a 6 inch screen. But the software upgrades have made a huge difference. Reading newspapers and magazines on the Fire is a real pleasure. The text size automatically adjusts to the screen, so that if you enlarge text you can read everything in one screen, rather than seeing portions of a line as before. The same thing is true with documents, especially if you use the WPS Office on the Fire. I can read my Word documents just as easily on a 6 inch screen as on the 8.9 one.I am very happy with the Fire HD 6. The HDX 8.9 is still the king of Amazon’s tablets, and it has replaced my laptop when I travel. The Fire HD 6 is a close second. Don’t hesitate to buy it. You won’t be disappointed, and you will be surprised how quickly it will become your preferred device.","joy","positive"
